customer_id,segment,acquisition_channel,city,state,payment_method,plan_type,signup_date,tenure_days,monthly_fee,support_contacts,is_churned
CUST_0106,Basic,Paid Search,Fort Worth,TX,PayPal,Monthly,2022-07-25,890,26.7,2,1
CUST_0107,Basic,Organic,Seattle,WA,PayPal,Annual,2019-02-10,2151,15.48,3,0
CUST_0108,Basic,Organic,Philadelphia,PA,Bank Transfer,Monthly,2023-11-08,419,23.3,0,0
CUST_0109,Enterprise,Paid Search,Columbus,OH,Credit Card,Monthly,2022-10-18,805,102.12,0,0
CUST_0110,Premium,Organic,Austin,TX,Credit Card,Monthly,2022-02-10,1055,66.08,3,0
CUST_0111,Basic,Paid Search,Houston,TX,PayPal,Monthly,2022-06-21,924,11.03,2,0
CUST_0112,Premium,Organic,Dallas,TX,Credit Card,Monthly,2019-03-02,2131,64.42,1,0
CUST_0113,Premium,Social Media,Jacksonville,FL,Debit Card,Monthly,2020-06-07,1668,48.05,0,0
CUST_0114,Enterprise,Organic,San Jose,CA,Bank Transfer,Monthly,2019-01-12,2180,145.03,5,0
CUST_0115,Basic,Paid Search,Charlotte,NC,Bank Transfer,Monthly,2023-04-11,630,10.79,2,1
CUST_0116,Premium,Direct,Columbus,OH,Credit Card,Annual,2021-06-01,1309,76.22,5,0
CUST_0117,Premium,Organic,Chicago,IL,PayPal,Monthly,2019-05-11,2061,64.81,2,0
CUST_0118,Basic,Paid Search,Fort Worth,TX,PayPal,Annual,2022-12-20,742,27.53,1,0
CUST_0119,Enterprise,Organic,Fort Worth,TX,PayPal,Annual,2023-10-29,429,88.4,0,0
CUST_0120,Basic,Organic,Jacksonville,FL,PayPal,Annual,2022-06-16,929,17.97,0,0
CUST_0121,Basic,Paid Search,New York,NY,Credit Card,Monthly,2022-03-11,1026,15.94,3,0
CUST_0122,Enterprise,Organic,Charlotte,NC,Credit Card,Annual,2022-03-09,1028,194.77,1,0
CUST_0123,Premium,Direct,Columbus,OH,PayPal,Annual,2019-08-14,1966,38.35,2,0
CUST_0124,Premium,Referral,Fort Worth,TX,Credit Card,Monthly,2021-04-04,1367,41.02,0,0
CUST_0125,Premium,Paid Search,Phoenix,AZ,PayPal,Monthly,2023-03-25,647,76.39,1,0
CUST_0126,Basic,Social Media,San Francisco,CA,Credit Card,Annual,2021-02-19,1411,14.48,2,0
CUST_0127,Basic,Social Media,Chicago,IL,Credit Card,Monthly,2022-05-03,973,29.11,4,0
CUST_0128,Basic,Paid Search,San Diego,CA,Bank Transfer,Monthly,2021-07-02,1278,11.62,0,0
CUST_0129,Premium,Organic,San Francisco,CA,Credit Card,Annual,2019-11-14,1874,59.62,2,0
CUST_0130,Premium,Organic,Philadelphia,PA,PayPal,Annual,2019-04-02,2100,72.53,5,0
CUST_0131,Premium,Organic,Austin,TX,Debit Card,Monthly,2021-11-20,1137,71.29,0,0
CUST_0132,Basic,Referral,Seattle,WA,Debit Card,Annual,2023-03-28,644,10.13,1,0
CUST_0133,Enterprise,Referral,Los Angeles,CA,PayPal,Monthly,2020-11-05,1517,95.41,1,0
CUST_0134,Basic,Social Media,Charlotte,NC,Debit Card,Monthly,2022-05-04,972,13.48,2,1
CUST_0135,Premium,Referral,New York,NY,Credit Card,Monthly,2019-07-29,1982,73.58,3,0
CUST_0136,Premium,Organic,Austin,TX,Debit Card,Monthly,2024-05-05,240,68.52,2,0
CUST_0137,Enterprise,Paid Search,Fort Worth,TX,Debit Card,Monthly,2021-03-07,1395,163.24,0,0
CUST_0138,Basic,Referral,Austin,TX,Credit Card,Annual,2021-01-17,1444,10.63,5,1
CUST_0139,Basic,Paid Search,Philadelphia,PA,Credit Card,Monthly,2024-01-30,336,27.36,2,0
CUST_0140,Premium,Organic,San Francisco,CA,Credit Card,Monthly,2021-11-16,1141,72.24,2,1
CUST_0141,Basic,Direct,Chicago,IL,Credit Card,Monthly,2021-01-03,1458,12.35,0,0
CUST_0142,Premium,Paid Search,Philadelphia,PA,Credit Card,Monthly,2020-12-26,1466,59.1,1,1
CUST_0143,Basic,Paid Search,San Diego,CA,PayPal,Annual,2019-12-04,1854,19.6,1,0
CUST_0144,Premium,Social Media,Philadelphia,PA,Debit Card,Annual,2023-09-11,477,35.25,2,0
CUST_0145,Basic,Referral,Boston,MA,Credit Card,Annual,2019-08-30,1950,16.53,1,0
CUST_0146,Basic,Organic,Boston,MA,Credit Card,Monthly,2022-04-04,1002,21.35,2,0
CUST_0147,Basic,Organic,Austin,TX,Credit Card,Annual,2019-01-09,2183,28.72,0,0
CUST_0148,Premium,Referral,San Diego,CA,Debit Card,Annual,2022-01-12,1084,46.97,1,0
CUST_0149,Enterprise,Paid Search,Chicago,IL,Credit Card,Monthly,2019-01-14,2178,89.8,0,0
CUST_0150,Basic,Organic,Fort Worth,TX,PayPal,Monthly,2021-01-19,1442,16.74,0,0
CUST_0151,Premium,Referral,Denver,CO,Credit Card,Monthly,2023-10-13,445,41.42,3,1
CUST_0152,Premium,Organic,Charlotte,NC,Credit Card,Monthly,2021-05-11,1330,78.04,2,1
CUST_0153,Premium,Social Media,Seattle,WA,Debit Card,Monthly,2020-02-24,1772,31.47,2,0
CUST_0154,Premium,Referral,Denver,CO,PayPal,Annual,2022-07-15,900,49.19,2,0
CUST_0155,Premium,Paid Search,San Jose,CA,Credit Card,Annual,2020-01-10,1817,50.65,0,0
CUST_0156,Basic,Organic,Charlotte,NC,PayPal,Monthly,2022-01-12,1084,21.86,0,1
CUST_0157,Basic,Direct,Los Angeles,CA,Debit Card,Monthly,2023-01-12,719,25.47,0,0
CUST_0158,Enterprise,Paid Search,Austin,TX,Debit Card,Monthly,2020-08-14,1600,142.37,2,0
CUST_0159,Basic,Referral,New York,NY,Credit Card,Monthly,2022-07-31,884,10.73,3,1
CUST_0160,Premium,Referral,Charlotte,NC,PayPal,Monthly,2024-04-23,252,43.49,0,0
CUST_0161,Premium,Direct,New York,NY,Credit Card,Monthly,2023-11-16,411,34.43,0,0
CUST_0162,Premium,Referral,Boston,MA,Debit Card,Annual,2024-01-09,357,30.87,2,0
CUST_0163,Basic,Paid Search,Jacksonville,FL,PayPal,Monthly,2023-07-20,530,16.16,1,0
CUST_0164,Premium,Direct,New York,NY,Bank Transfer,Monthly,2022-10-13,810,73.41,0,0
CUST_0165,Premium,Social Media,Austin,TX,Bank Transfer,Monthly,2022-03-14,1023,71.54,2,0
CUST_0166,Premium,Direct,New York,NY,Credit Card,Annual,2021-12-12,1115,63.35,1,0
CUST_0167,Basic,Referral,Dallas,TX,Debit Card,Annual,2021-02-19,1411,25.65,3,0
CUST_0168,Basic,Referral,Philadelphia,PA,Debit Card,Annual,2022-07-26,889,18.71,1,0
CUST_0169,Premium,Organic,Charlotte,NC,PayPal,Annual,2019-05-23,2049,64.77,1,1
CUST_0170,Basic,Paid Search,Jacksonville,FL,Credit Card,Monthly,2021-08-25,1224,23.36,2,1
CUST_0171,Enterprise,Paid Search,Philadelphia,PA,Debit Card,Annual,2020-10-26,1527,125.62,2,1
CUST_0172,Premium,Social Media,Philadelphia,PA,Bank Transfer,Annual,2020-03-02,1765,30.91,0,0
CUST_0173,Basic,Referral,Charlotte,NC,Credit Card,Annual,2023-12-12,385,13.94,1,0
CUST_0174,Basic,Referral,Boston,MA,Bank Transfer,Annual,2022-03-25,1012,20.78,1,0
CUST_0175,Premium,Organic,Houston,TX,Debit Card,Monthly,2022-07-10,905,64.06,0,0
CUST_0176,Premium,Referral,San Francisco,CA,PayPal,Monthly,2019-02-05,2156,51.23,0,0
CUST_0177,Premium,Paid Search,Fort Worth,TX,PayPal,Annual,2021-06-05,1305,61.9,3,0
CUST_0178,Basic,Paid Search,San Jose,CA,Debit Card,Monthly,2022-03-23,1014,15.11,1,0
CUST_0179,Enterprise,Referral,Seattle,WA,Bank Transfer,Monthly,2023-01-02,729,150.39,0,1
CUST_0180,Premium,Social Media,San Francisco,CA,Credit Card,Monthly,2020-02-23,1773,60.35,1,0
CUST_0181,Basic,Referral,Los Angeles,CA,Credit Card,Monthly,2023-08-09,510,18.09,2,0
CUST_0182,Enterprise,Organic,Denver,CO,PayPal,Monthly,2019-10-15,1904,112.9,0,0
CUST_0183,Basic,Social Media,Chicago,IL,PayPal,Monthly,2021-12-29,1098,17.1,0,0
CUST_0184,Premium,Organic,Phoenix,AZ,Credit Card,Annual,2021-02-14,1416,74.0,2,0
CUST_0185,Basic,Referral,Jacksonville,FL,Bank Transfer,Monthly,2019-12-20,1838,18.93,1,0
CUST_0186,Basic,Direct,Charlotte,NC,Credit Card,Monthly,2020-03-21,1746,18.45,1,0
CUST_0187,Basic,Direct,Chicago,IL,Debit Card,Monthly,2019-12-14,1844,29.48,0,0
CUST_0188,Premium,Social Media,New York,NY,Debit Card,Monthly,2020-02-10,1786,34.46,1,1
CUST_0189,Premium,Social Media,Los Angeles,CA,Credit Card,Monthly,2023-08-14,505,43.16,1,1
CUST_0190,Enterprise,Referral,Austin,TX,Debit Card,Monthly,2023-08-17,502,152.07,4,0
CUST_0191,Basic,Direct,San Jose,CA,PayPal,Annual,2022-03-27,1010,27.56,3,1
CUST_0192,Basic,Paid Search,Los Angeles,CA,Credit Card,Monthly,2022-05-14,962,29.51,2,0
CUST_0193,Enterprise,Direct,Columbus,OH,Credit Card,Annual,2019-08-26,1954,100.98,1,0
CUST_0194,Basic,Paid Search,San Diego,CA,PayPal,Monthly,2022-01-07,1089,29.26,3,1
CUST_0195,Premium,Paid Search,Philadelphia,PA,Credit Card,Monthly,2022-02-27,1038,62.51,0,0
CUST_0196,Basic,Social Media,San Jose,CA,Credit Card,Monthly,2020-11-20,1502,11.16,2,0
CUST_0197,Basic,Organic,Columbus,OH,Credit Card,Annual,2021-02-02,1428,22.36,1,0
CUST_0198,Basic,Organic,Boston,MA,Bank Transfer,Annual,2023-09-10,478,12.61,2,1
CUST_0199,Basic,Paid Search,Columbus,OH,Credit Card,Monthly,2023-07-27,523,10.22,1,1
CUST_0200,Basic,Organic,San Jose,CA,Bank Transfer,Monthly,2021-06-19,1291,14.3,0,1
CUST_0201,Basic,Direct,Seattle,WA,Credit Card,Monthly,2020-04-09,1727,12.19,2,1
CUST_0202,Basic,Paid Search,Houston,TX,Debit Card,Monthly,2020-08-16,1598,19.52,1,0
CUST_0203,Basic,Social Media,Fort Worth,TX,Credit Card,Monthly,2022-02-17,1048,16.31,2,0
CUST_0204,Premium,Organic,San Diego,CA,PayPal,Annual,2021-03-12,1390,49.32,1,0
CUST_0205,Enterprise,Paid Search,Fort Worth,TX,Credit Card,Annual,2020-03-24,1743,133.19,0,0
CUST_0206,Basic,Referral,New York,NY,Credit Card,Monthly,2020-10-25,1528,10.71,1,1
CUST_0207,Basic,Direct,Boston,MA,Bank Transfer,Annual,2020-06-23,1652,17.1,2,1
CUST_0208,Basic,Paid Search,Charlotte,NC,Credit Card,Annual,2022-05-31,945,25.65,1,0
CUST_0209,Premium,Organic,Houston,TX,PayPal,Annual,2019-06-18,2023,77.99,2,0
CUST_0210,Basic,Paid Search,Los Angeles,CA,PayPal,Monthly,2019-12-17,1841,20.42,1,0
CUST_0211,Basic,Organic,Seattle,WA,Credit Card,Monthly,2024-01-25,341,21.0,1,0
CUST_0212,Basic,Direct,Jacksonville,FL,Credit Card,Annual,2021-06-06,1304,29.85,1,0
CUST_0213,Enterprise,Organic,Charlotte,NC,Credit Card,Annual,2020-10-22,1531,197.41,2,0
CUST_0214,Basic,Paid Search,Austin,TX,Credit Card,Monthly,2023-12-10,387,13.3,0,1
CUST_0215,Premium,Social Media,Charlotte,NC,PayPal,Annual,2020-04-05,1731,50.67,3,1
CUST_0216,Basic,Organic,Jacksonville,FL,PayPal,Annual,2022-02-08,1057,13.22,4,1
CUST_0217,Basic,Social Media,Los Angeles,CA,Credit Card,Monthly,2024-04-03,272,26.3,2,0
CUST_0218,Premium,Paid Search,San Jose,CA,Bank Transfer,Monthly,2019-07-28,1983,30.55,5,0
CUST_0219,Premium,Organic,Charlotte,NC,PayPal,Annual,2020-06-19,1656,40.86,0,1
CUST_0220,Premium,Organic,San Antonio,TX,Credit Card,Annual,2023-12-01,396,39.07,1,0
CUST_0221,Enterprise,Paid Search,Chicago,IL,Credit Card,Monthly,2021-12-14,1113,164.35,0,0
CUST_0222,Basic,Referral,Denver,CO,Credit Card,Annual,2024-01-15,351,22.73,0,0
CUST_0223,Premium,Referral,Philadelphia,PA,Credit Card,Annual,2019-01-19,2173,52.01,0,0
CUST_0224,Basic,Paid Search,Seattle,WA,Credit Card,Monthly,2020-04-20,1716,24.71,4,1
CUST_0225,Premium,Organic,Philadelphia,PA,Debit Card,Annual,2024-03-09,297,58.59,1,0
CUST_0226,Basic,Paid Search,Fort Worth,TX,Bank Transfer,Monthly,2023-07-12,538,15.46,1,1
CUST_0227,Enterprise,Organic,Columbus,OH,Credit Card,Monthly,2024-01-30,336,102.33,2,0
CUST_0228,Basic,Organic,San Antonio,TX,Debit Card,Annual,2021-03-02,1400,24.59,1,0
CUST_0229,Premium,Organic,Boston,MA,Bank Transfer,Annual,2021-07-14,1266,44.14,0,0
CUST_0230,Basic,Organic,Columbus,OH,Credit Card,Monthly,2022-04-20,986,18.58,2,0
CUST_0231,Enterprise,Organic,Seattle,WA,Debit Card,Monthly,2019-07-15,1996,117.82,1,0
CUST_0232,Basic,Referral,Austin,TX,Debit Card,Monthly,2019-07-18,1993,17.87,3,0
CUST_0233,Enterprise,Organic,Phoenix,AZ,PayPal,Monthly,2024-02-24,311,193.64,1,0
CUST_0234,Basic,Referral,San Jose,CA,Credit Card,Annual,2019-10-16,1903,20.47,0,0
CUST_0235,Enterprise,Referral,Dallas,TX,Bank Transfer,Monthly,2023-06-22,558,89.81,1,0
CUST_0236,Basic,Direct,Indianapolis,IN,Credit Card,Monthly,2022-03-13,1024,18.24,2,1
CUST_0237,Premium,Social Media,San Jose,CA,Debit Card,Annual,2020-07-14,1631,40.07,1,0
CUST_0238,Basic,Social Media,Charlotte,NC,Credit Card,Annual,2023-10-16,442,13.23,2,0
CUST_0239,Premium,Referral,Los Angeles,CA,Credit Card,Monthly,2021-12-03,1124,56.94,1,0
CUST_0240,Premium,Social Media,Seattle,WA,Credit Card,Monthly,2021-02-17,1413,40.19,1,0
CUST_0241,Premium,Referral,San Diego,CA,Bank Transfer,Monthly,2024-05-21,224,74.85,2,0
CUST_0242,Basic,Referral,Fort Worth,TX,Debit Card,Monthly,2019-02-09,2152,20.14,1,1
CUST_0243,Basic,Referral,Indianapolis,IN,Credit Card,Monthly,2021-08-23,1226,29.36,1,0
CUST_0244,Premium,Paid Search,New York,NY,PayPal,Annual,2023-04-06,635,66.26,3,1
CUST_0245,Basic,Referral,Chicago,IL,PayPal,Annual,2021-07-18,1262,14.2,2,0
CUST_0246,Basic,Direct,Philadelphia,PA,Bank Transfer,Monthly,2022-11-19,773,28.03,1,0
CUST_0247,Basic,Social Media,Jacksonville,FL,Credit Card,Monthly,2022-07-24,891,12.26,0,0
CUST_0248,Premium,Paid Search,Los Angeles,CA,Credit Card,Monthly,2022-08-30,854,60.69,2,0
CUST_0249,Premium,Social Media,Chicago,IL,Credit Card,Annual,2024-05-07,238,46.26,1,0
CUST_0250,Basic,Social Media,New York,NY,Debit Card,Monthly,2019-07-10,2001,16.81,1,1
CUST_0251,Basic,Organic,Columbus,OH,Bank Transfer,Annual,2022-11-25,767,25.32,2,1
CUST_0252,Enterprise,Referral,Los Angeles,CA,PayPal,Monthly,2020-09-03,1580,125.79,0,0
CUST_0253,Basic,Social Media,Boston,MA,Credit Card,Monthly,2019-09-27,1922,28.36,2,1
CUST_0254,Enterprise,Social Media,Dallas,TX,Debit Card,Annual,2023-10-08,450,167.2,2,0
CUST_0255,Enterprise,Organic,Philadelphia,PA,Credit Card,Monthly,2020-04-09,1727,109.03,0,0
CUST_0256,Basic,Paid Search,Austin,TX,Credit Card,Monthly,2019-11-30,1858,24.86,0,0
CUST_0257,Enterprise,Social Media,Dallas,TX,Credit Card,Monthly,2023-07-14,536,102.24,0,0
CUST_0258,Basic,Social Media,Jacksonville,FL,PayPal,Annual,2023-05-05,606,21.47,1,0
CUST_0259,Basic,Paid Search,Dallas,TX,Debit Card,Annual,2021-09-03,1215,11.29,1,1
CUST_0260,Premium,Organic,Jacksonville,FL,PayPal,Monthly,2020-10-20,1533,74.63,2,0
CUST_0261,Premium,Referral,Houston,TX,Bank Transfer,Monthly,2021-02-10,1420,49.23,3,0
CUST_0262,Premium,Paid Search,Philadelphia,PA,Credit Card,Monthly,2024-04-20,255,31.99,2,0
CUST_0263,Basic,Paid Search,Fort Worth,TX,PayPal,Monthly,2022-08-07,877,18.95,2,0
