claim_id,claim_type,claim_amount,policy_type,policy_age_months,claimant_age,claimant_gender,incident_date,report_date,incident_hour,report_delay_days,previous_claims,witness_present,police_report,injury_claimed,claim_status,is_fraudulent,claim_severity
CLM_00077,Property,411,Platinum,89,45,F,2023-07-22,2023-12-28,1,0.3,2,0,1,1,Approved,0,Low
CLM_00078,Health,2488,Standard,1,74,F,2023-03-23,2023-12-08,4,0.9,2,1,1,1,Denied,0,High
CLM_00079,Life,3672,Standard,20,43,M,2023-12-31,2023-12-10,13,0.2,0,0,0,0,Approved,0,Medium
CLM_00080,Life,3523,Platinum,45,69,F,2023-05-12,2023-12-05,11,2.3,2,1,1,0,Denied,0,Medium
CLM_00081,Travel,2634,Basic,31,31,M,2023-03-03,2023-12-28,13,7.5,3,1,1,0,Pending,0,Medium
CLM_00082,Auto,9958,Premium,13,40,M,2023-02-04,2024-01-01,5,1.7,4,0,1,0,Approved,0,Medium
CLM_00083,Travel,8516,Standard,74,83,F,2023-04-11,2023-12-30,10,2.8,2,1,1,1,Under Investigation,0,High
CLM_00084,Auto,562,Standard,117,32,M,2023-03-15,2023-12-22,22,1.7,6,0,0,0,Approved,0,Low
CLM_00085,Life,1048,Standard,77,21,F,2023-01-21,2023-12-03,3,3.8,2,0,1,0,Pending,0,High
CLM_00086,Auto,440,Platinum,22,38,F,2023-05-26,2023-12-24,9,0.4,3,1,1,0,Approved,1,Critical
CLM_00087,Auto,7307,Standard,69,64,M,2023-09-15,2023-12-31,3,0.5,3,1,1,0,Approved,0,Low
CLM_00088,Health,1526,Standard,39,58,M,2023-03-27,2023-12-05,20,3.4,2,1,1,0,Under Investigation,0,High
CLM_00089,Life,1483,Basic,44,44,F,2023-08-05,2023-12-25,16,5.3,1,1,1,1,Approved,0,Medium
CLM_00090,Property,2509,Standard,47,72,F,2023-09-17,2023-12-03,3,9.8,3,1,1,0,Approved,0,Critical
CLM_00091,Health,803,Platinum,76,55,F,2023-05-20,2023-12-04,6,6.0,5,0,1,0,Approved,0,Low
CLM_00092,Health,3203,Premium,101,29,M,2023-11-13,2023-12-23,21,2.1,3,1,1,1,Pending,0,High
CLM_00093,Health,1337,Basic,82,27,M,2023-03-26,2023-12-04,1,0.8,1,1,1,0,Pending,0,High
CLM_00094,Travel,4206,Premium,68,62,F,2023-12-20,2023-12-05,20,0.1,1,0,1,0,Approved,0,Medium
CLM_00095,Travel,3161,Standard,31,73,M,2023-10-10,2023-12-24,1,2.0,2,0,0,0,Approved,0,High
CLM_00096,Life,18497,Basic,50,80,M,2023-09-07,2023-12-03,19,3.2,1,1,1,1,Pending,0,Low
CLM_00097,Travel,1492,Basic,90,70,F,2023-07-12,2023-12-29,6,2.9,2,0,0,1,Pending,0,Low
CLM_00098,Travel,712,Standard,42,30,M,2023-09-18,2023-12-16,19,5.9,2,1,1,1,Approved,0,Low
CLM_00099,Home,39686,Premium,44,82,M,2023-09-22,2023-12-25,23,6.4,3,0,0,1,Approved,1,Low
CLM_00100,Auto,591,Standard,118,25,F,2023-08-16,2023-12-27,10,1.6,2,0,1,1,Denied,0,Low
CLM_00101,Auto,663,Basic,91,19,F,2023-04-07,2023-12-12,17,1.2,4,1,1,1,Approved,0,Low
CLM_00102,Auto,850,Standard,99,49,F,2023-09-04,2023-12-26,18,6.5,3,1,1,0,Denied,0,Medium
CLM_00103,Property,8658,Premium,13,19,M,2023-06-02,2023-12-18,10,0.9,1,0,1,0,Approved,0,Medium
CLM_00104,Property,47121,Standard,101,25,F,2023-06-29,2023-12-17,6,2.6,2,1,1,1,Approved,0,Low
CLM_00105,Home,631,Premium,90,75,F,2023-12-20,2023-12-16,8,2.4,3,0,1,1,Denied,1,High
CLM_00106,Property,1118,Premium,46,21,F,2023-11-05,2023-12-20,7,0.6,3,0,1,0,Pending,0,Low
CLM_00107,Home,27821,Premium,24,47,F,2023-09-06,2023-12-29,16,3.0,3,1,1,0,Approved,1,Medium
CLM_00108,Home,1481,Premium,91,32,F,2023-11-15,2023-12-19,5,3.0,3,1,1,1,Approved,0,Medium
CLM_00109,Home,3530,Standard,84,66,M,2023-10-19,2023-12-28,18,1.4,2,1,1,0,Under Investigation,0,Critical
CLM_00110,Auto,1707,Standard,92,24,M,2023-05-26,2023-12-19,23,0.2,2,0,0,1,Approved,0,High
CLM_00111,Life,3672,Basic,15,49,F,2023-06-12,2023-12-13,17,1.6,2,0,1,0,Under Investigation,0,High
CLM_00112,Property,7731,Basic,106,50,M,2023-08-02,2023-12-04,8,0.1,4,0,1,1,Denied,0,Medium
CLM_00113,Home,2699,Standard,51,56,F,2023-10-17,2023-12-09,1,0.3,2,1,0,0,Under Investigation,0,High
CLM_00114,Auto,1373,Basic,116,31,M,2023-07-17,2023-12-07,23,0.4,2,1,1,1,Approved,0,Medium
CLM_00115,Life,2400,Basic,41,53,M,2023-10-08,2023-12-25,9,0.3,5,1,1,1,Pending,0,Low
CLM_00116,Life,682,Premium,8,49,F,2023-07-09,2023-12-22,5,0.5,2,0,1,1,Under Investigation,0,Low
CLM_00117,Health,5572,Standard,27,42,M,2023-01-13,2023-12-29,5,11.7,3,1,1,0,Denied,0,Low
CLM_00118,Travel,5326,Basic,90,38,F,2023-04-28,2023-12-07,21,5.3,5,0,0,0,Approved,0,Medium
CLM_00119,Home,757,Standard,66,57,F,2023-07-29,2023-12-18,0,0.4,3,0,1,0,Under Investigation,0,Low
CLM_00120,Health,3469,Standard,100,34,M,2023-01-11,2023-12-05,20,1.6,1,1,0,1,Denied,0,Medium
CLM_00121,Health,458,Basic,84,42,F,2023-01-22,2023-12-19,18,11.3,1,1,0,1,Approved,0,Critical
CLM_00122,Home,8201,Platinum,38,70,M,2023-07-21,2023-12-25,18,6.2,3,0,0,1,Approved,0,High
CLM_00123,Travel,841,Premium,110,58,F,2023-08-27,2023-12-10,3,6.3,0,1,1,0,Approved,0,Low
CLM_00124,Property,3242,Basic,81,82,F,2023-03-06,2023-12-10,8,7.2,2,1,1,0,Denied,0,Medium
CLM_00125,Home,1961,Platinum,86,83,F,2023-07-23,2023-12-06,3,1.5,4,1,1,1,Approved,0,Low
CLM_00126,Auto,3386,Platinum,35,65,M,2023-01-26,2023-12-09,12,2.0,1,1,1,1,Approved,0,High
CLM_00127,Life,2056,Premium,41,34,F,2023-03-30,2023-12-14,8,1.5,2,1,1,0,Denied,0,Low
CLM_00128,Health,1846,Standard,90,25,M,2023-01-19,2023-12-19,11,3.4,3,0,0,0,Pending,0,High
CLM_00129,Home,10847,Premium,97,32,M,2023-04-18,2023-12-04,14,1.6,0,1,1,1,Approved,0,Medium
CLM_00130,Property,5125,Premium,90,79,M,2023-08-27,2023-12-08,10,2.0,5,1,1,1,Denied,0,Medium
CLM_00131,Health,3285,Platinum,41,80,M,2023-01-06,2023-12-22,2,1.8,1,1,1,1,Denied,0,High
CLM_00132,Home,2199,Basic,43,28,M,2023-03-13,2023-12-28,9,3.1,2,1,1,1,Pending,0,Low
CLM_00133,Auto,2820,Basic,51,67,F,2023-02-20,2023-12-04,21,7.8,3,1,0,1,Approved,0,Critical
CLM_00134,Travel,127,Platinum,96,39,F,2023-10-24,2023-12-28,14,0.5,1,1,1,0,Approved,0,High
CLM_00135,Health,832,Basic,11,18,F,2023-03-27,2023-12-04,13,3.4,0,1,1,0,Approved,0,Critical
CLM_00136,Life,847,Premium,19,81,M,2023-09-06,2023-12-31,4,1.9,2,1,1,1,Approved,0,High
CLM_00137,Life,3617,Standard,48,69,F,2023-10-23,2023-12-10,5,0.5,0,0,0,0,Denied,0,Medium
CLM_00138,Health,2284,Premium,48,62,M,2023-01-29,2023-12-16,14,2.6,3,0,0,0,Approved,0,Low
CLM_00139,Property,7095,Premium,21,83,M,2023-08-02,2023-12-30,2,3.5,1,0,1,0,Under Investigation,0,High
CLM_00140,Auto,2569,Premium,73,18,F,2023-11-27,2023-12-31,12,4.2,0,0,1,1,Approved,0,High
CLM_00141,Property,5241,Premium,40,34,M,2023-07-23,2023-12-23,18,2.2,2,0,1,0,Denied,0,High
CLM_00142,Life,2132,Standard,65,34,M,2023-07-27,2023-12-12,21,1.2,1,0,0,0,Denied,0,Low
CLM_00143,Property,14198,Standard,63,21,M,2023-11-03,2023-12-10,20,4.9,3,1,1,0,Under Investigation,0,High
CLM_00144,Health,1355,Basic,50,25,M,2023-02-10,2023-12-21,21,3.7,2,1,1,0,Approved,0,Low
CLM_00145,Health,3824,Platinum,33,77,M,2023-05-29,2023-12-09,16,3.5,4,1,0,0,Under Investigation,0,Low
CLM_00146,Life,4715,Platinum,101,65,M,2023-12-04,2023-12-24,18,3.1,1,1,0,1,Denied,0,Low
CLM_00147,Auto,3881,Standard,34,26,F,2023-04-12,2023-12-26,3,3.4,4,0,1,1,Approved,0,High
CLM_00148,Property,3754,Standard,47,70,F,2023-11-16,2023-12-20,21,4.6,1,0,1,0,Approved,0,Medium
CLM_00149,Auto,1063,Platinum,16,64,M,2023-09-19,2023-12-05,5,4.3,3,1,0,0,Denied,0,High
CLM_00150,Home,2179,Standard,100,24,F,2023-09-12,2023-12-14,11,0.0,2,0,1,1,Denied,0,Medium
CLM_00151,Property,4335,Premium,9,22,F,2023-09-27,2023-12-13,11,0.2,1,1,1,0,Approved,0,Low
CLM_00152,Life,8098,Premium,111,45,M,2023-02-14,2023-12-16,12,5.0,1,1,1,1,Pending,0,Low
CLM_00153,Property,806,Platinum,62,79,F,2023-10-15,2023-12-23,20,9.8,1,0,1,1,Under Investigation,0,Medium
CLM_00154,Travel,1780,Platinum,19,72,F,2023-07-31,2023-12-27,11,0.9,3,0,1,1,Under Investigation,0,Critical
CLM_00155,Travel,10508,Premium,88,61,M,2023-10-19,2023-12-29,10,3.3,1,0,1,0,Pending,0,Low
CLM_00156,Life,3204,Premium,100,26,F,2023-04-28,2023-12-10,2,6.8,1,1,1,0,Denied,1,Medium
CLM_00157,Life,2693,Standard,109,37,F,2023-01-23,2023-12-23,0,0.8,4,1,1,0,Under Investigation,0,Low
CLM_00158,Travel,1924,Premium,47,43,F,2023-08-21,2023-12-12,18,1.0,2,1,1,1,Pending,0,Low
CLM_00159,Auto,7297,Basic,24,44,F,2023-06-26,2023-12-29,2,2.1,2,1,1,1,Approved,0,High
CLM_00160,Travel,1498,Basic,54,74,F,2023-07-17,2023-12-26,8,0.0,0,0,0,0,Under Investigation,0,Low
CLM_00161,Life,12846,Premium,78,74,F,2023-11-15,2023-12-11,4,3.7,1,1,0,1,Pending,0,Low
CLM_00162,Health,17976,Basic,48,69,M,2023-08-01,2023-12-06,9,2.0,2,1,0,1,Pending,0,Medium
CLM_00163,Auto,701,Basic,39,74,M,2023-04-25,2023-12-24,5,7.6,0,0,1,0,Under Investigation,0,High
CLM_00164,Auto,5163,Platinum,116,52,F,2023-10-15,2023-12-07,3,1.5,2,1,1,0,Pending,1,Medium
CLM_00165,Property,5436,Basic,43,37,M,2023-08-03,2023-12-31,2,9.1,3,1,1,1,Approved,0,Medium
CLM_00166,Health,593,Basic,17,23,M,2023-12-27,2023-12-08,20,1.1,1,1,1,0,Approved,0,Low
CLM_00167,Auto,780,Basic,93,37,M,2023-03-27,2023-12-15,13,4.6,4,1,1,0,Pending,0,Critical
CLM_00168,Home,18330,Premium,80,19,F,2023-03-27,2023-12-23,2,0.7,2,1,0,1,Approved,0,Critical
CLM_00169,Life,1546,Standard,27,27,M,2023-01-14,2023-12-17,1,3.7,2,1,1,0,Approved,0,Low
CLM_00170,Health,2303,Standard,83,18,F,2023-10-20,2023-12-20,3,8.3,3,1,1,0,Denied,0,Medium
CLM_00171,Health,1056,Premium,92,34,M,2023-11-21,2023-12-23,8,1.7,2,1,0,1,Under Investigation,0,Low
CLM_00172,Life,1289,Basic,75,33,F,2023-09-29,2023-12-17,17,4.0,0,0,1,0,Pending,0,Low
CLM_00173,Property,4430,Standard,60,45,M,2023-07-03,2023-12-28,5,4.8,3,1,1,0,Pending,0,Low
CLM_00174,Life,2973,Standard,11,75,M,2023-06-10,2023-12-29,17,5.2,1,1,1,0,Approved,0,Low
CLM_00175,Auto,1649,Premium,92,38,F,2023-09-14,2023-12-18,15,2.2,1,1,0,0,Approved,0,Low
CLM_00176,Home,227,Standard,80,78,M,2023-12-26,2023-12-14,9,1.4,5,1,1,1,Denied,0,High
CLM_00177,Life,4935,Standard,116,40,M,2023-04-29,2023-12-25,4,1.6,1,1,1,1,Approved,0,Medium
CLM_00178,Property,2127,Standard,11,56,M,2023-11-15,2023-12-11,3,0.4,0,0,1,1,Pending,0,Critical
CLM_00179,Auto,444,Standard,1,51,M,2023-05-07,2023-12-20,17,1.2,2,1,1,1,Approved,0,Critical
CLM_00180,Auto,1690,Platinum,43,42,M,2023-04-23,2023-12-30,20,4.5,1,1,1,1,Approved,0,Low
CLM_00181,Life,10522,Standard,83,36,F,2023-04-05,2023-12-30,21,4.7,2,0,1,1,Approved,0,Low
CLM_00182,Home,8251,Platinum,45,37,F,2023-05-25,2023-12-06,16,0.2,0,0,1,0,Denied,0,Medium
CLM_00183,Property,521,Basic,92,48,F,2023-02-18,2023-12-09,1,3.3,2,1,0,1,Pending,0,High
CLM_00184,Travel,14854,Premium,71,26,M,2023-05-26,2023-12-27,18,2.9,0,1,1,1,Pending,0,High
CLM_00185,Life,3514,Premium,59,74,F,2023-05-09,2023-12-06,10,0.9,1,1,1,1,Denied,0,Medium
CLM_00186,Home,1002,Premium,61,18,F,2023-07-12,2023-12-05,14,3.0,3,1,0,1,Under Investigation,0,Low
CLM_00187,Travel,5783,Premium,8,18,M,2023-10-30,2023-12-11,4,4.1,1,0,1,0,Pending,0,Low
CLM_00188,Home,1945,Basic,54,55,F,2023-12-05,2023-12-13,17,5.6,3,1,1,1,Denied,0,Low
CLM_00189,Health,880,Basic,31,41,F,2023-01-10,2023-12-10,15,1.1,3,1,1,1,Pending,1,High
CLM_00190,Home,1340,Premium,11,72,F,2023-06-18,2023-12-06,19,2.5,2,1,1,0,Under Investigation,0,Medium
CLM_00191,Property,1464,Standard,89,71,F,2023-01-27,2024-01-01,4,0.2,4,1,1,0,Denied,0,Medium
CLM_00192,Auto,1993,Basic,66,54,M,2023-05-16,2023-12-31,23,9.2,6,1,1,1,Approved,0,Low
CLM_00193,Travel,1131,Premium,27,70,M,2023-10-05,2023-12-24,12,11.2,3,1,0,1,Pending,0,Critical
CLM_00194,Travel,2394,Basic,58,51,M,2023-03-31,2023-12-15,10,4.7,4,0,0,0,Approved,0,Critical
CLM_00195,Property,5721,Basic,13,53,M,2023-03-25,2023-12-11,9,0.9,0,1,1,0,Under Investigation,0,Low
CLM_00196,Property,298,Standard,24,61,F,2023-02-19,2023-12-03,5,4.5,1,1,1,1,Approved,0,High
CLM_00197,Travel,718,Premium,9,57,F,2023-05-28,2023-12-06,22,5.5,4,1,1,1,Pending,0,High
CLM_00198,Life,9336,Standard,101,23,M,2023-10-16,2023-12-08,7,0.7,2,1,1,0,Under Investigation,0,Critical
CLM_00199,Travel,1021,Standard,22,55,F,2023-04-29,2023-12-25,2,0.6,1,0,1,0,Under Investigation,0,High
CLM_00200,Life,12279,Premium,84,39,F,2023-12-19,2023-12-20,8,0.9,1,1,1,1,Denied,0,Low
CLM_00201,Auto,567,Standard,113,45,M,2023-06-26,2023-12-17,14,7.2,3,1,1,1,Denied,0,Critical
CLM_00202,Home,12161,Basic,83,32,M,2023-07-05,2023-12-23,20,0.1,0,1,0,1,Approved,0,High
CLM_00203,Auto,2111,Basic,57,25,F,2023-07-30,2023-12-03,14,1.9,1,1,1,0,Approved,0,Medium
CLM_00204,Auto,4164,Platinum,105,66,M,2023-08-15,2023-12-09,12,5.3,3,0,1,1,Under Investigation,0,Low
CLM_00205,Auto,800,Standard,52,75,F,2023-09-18,2023-12-29,16,1.0,3,1,1,0,Approved,0,Low
CLM_00206,Health,3050,Platinum,31,31,M,2023-12-07,2023-12-31,8,0.8,2,0,0,0,Under Investigation,0,Medium
CLM_00207,Home,1530,Basic,84,29,M,2023-08-22,2023-12-10,14,1.5,4,0,0,0,Denied,0,Critical
CLM_00208,Travel,12935,Basic,79,63,M,2023-03-30,2023-12-09,14,9.0,2,0,1,1,Approved,1,High
CLM_00209,Life,997,Platinum,61,81,M,2023-05-09,2023-12-12,19,0.0,3,1,0,1,Approved,0,Low
CLM_00210,Home,4954,Basic,103,75,M,2023-07-01,2023-12-18,21,1.7,1,0,0,0,Pending,0,Low
CLM_00211,Travel,544,Standard,17,34,F,2023-10-03,2023-12-20,12,4.7,3,0,1,0,Under Investigation,0,Low
CLM_00212,Travel,17909,Premium,23,51,F,2023-03-04,2023-12-28,5,3.4,1,0,0,1,Pending,1,Medium
CLM_00213,Auto,1976,Standard,35,52,M,2023-09-23,2023-12-30,18,4.5,0,1,1,1,Pending,1,Medium
CLM_00214,Health,2760,Premium,59,33,F,2023-01-20,2023-12-05,14,1.5,2,1,1,0,Approved,0,Critical
CLM_00215,Auto,8715,Basic,18,56,F,2023-09-25,2023-12-22,15,1.5,2,1,1,0,Under Investigation,0,Low
CLM_00216,Life,7177,Standard,63,84,F,2023-08-15,2023-12-22,19,0.7,3,1,1,0,Denied,0,Medium
CLM_00217,Property,2238,Basic,87,31,M,2023-12-14,2023-12-16,9,0.1,2,0,0,0,Under Investigation,0,Medium
CLM_00218,Life,200,Basic,58,58,M,2023-02-01,2023-12-30,9,6.8,1,1,0,0,Approved,1,High
CLM_00219,Travel,817,Standard,113,35,M,2023-06-28,2023-12-07,17,0.2,1,1,1,0,Approved,0,High
CLM_00220,Life,4506,Standard,63,29,M,2023-04-22,2023-12-22,6,0.4,2,1,0,0,Under Investigation,0,Critical
CLM_00221,Life,275,Platinum,52,54,M,2023-06-20,2023-12-18,15,1.2,0,0,1,0,Pending,0,High
CLM_00222,Health,3360,Premium,45,36,M,2023-11-28,2023-12-20,17,0.2,2,0,1,0,Approved,1,Medium
CLM_00223,Auto,1697,Basic,22,75,F,2023-03-07,2023-12-31,19,3.2,4,0,1,1,Approved,0,Low
CLM_00224,Health,10544,Standard,96,33,F,2023-03-05,2023-12-26,1,2.9,2,1,1,1,Pending,0,High
CLM_00225,Home,402,Standard,2,41,F,2023-09-15,2023-12-14,14,0.7,1,0,1,1,Under Investigation,0,Medium
CLM_00226,Home,6771,Standard,84,44,M,2023-01-30,2023-12-31,21,0.4,2,0,1,0,Approved,0,Low
